date;presents;absents
2014-03-13;13;0
2014-03-28;14;1
2014-04-30;15;0
2014-07-18;14;2
2014-12-05;14;3
2015-01-28;15;0
2015-04-10;13;2
2015-06-08;11;3
2015-07-24;10;4
2015-09-11;9;5
2015-11-04;11;4
2015-12-11;11;2
2016-02-26;10;6
2016-04-08;8;5
2016-06-20;12;3
2016-09-26;12;4
